"","Total.VolumeA","Speed_KM","OccupancyA"
"1039",1572,103,-1
"1040",1380,106,-1
"1041",1044,103,-1
"1042",1404,106,-1
"1043",954,106,-1
"1044",1416,105,-1
"1045",1008,106,-1
"1046",1380,103,-1
"1047",774,105,-1
"1048",1056,106,-1
"1049",942,106,-1
"1050",1356,105,-1
"1051",1122,106,-1
"1052",900,106,-1
"1053",930,103,-1
"1054",708,105,-1
"1055",1026,103,-1
"1056",606,105,-1
"1057",942,106,-1
"1058",990,105,-1
"1059",804,103,-1
"1060",954,103,-1
"1061",1044,101,-1
"1062",972,105,-1
"1063",1074,103,-1
"1064",960,105,-1
"1065",852,103,-1
"1066",846,103,-1
"1067",1026,101,-1
"1068",834,103,-1
"1069",1038,105,-1
"1070",804,103,-1
"1071",912,105,-1
"1072",984,100,-1
"1073",936,95,-1
"1074",888,97,-1
"1075",738,95,-1
"1076",834,97,-1
"1077",744,95,-1
"1078",966,93,-1
"1079",630,93,-1
"1080",750,93,-1
"1081",648,93,-1
"1082",996,88,-1
"1083",744,93,-1
"1084",624,97,-1
"1085",954,88,-1
"1086",894,95,-1
"1087",696,93,-1
"1088",804,95,-1
"1089",828,93,-1
"1090",762,93,-1
"1091",732,95,-1
"1092",870,92,-1
"1093",828,93,-1
"1094",846,92,-1
"1095",792,93,-1
"1096",816,90,-1
"1097",828,93,-1
"1098",924,95,-1
"1099",990,92,-1
"1100",996,88,-1
"1101",924,95,-1
"1102",792,90,-1
"1103",804,97,-1
"1104",888,100,-1
"1105",912,98,-1
"1106",552,98,-1
"1107",1014,100,-1
"1108",828,98,-1
"1109",498,106,-1
"1110",1074,105,-1
"1111",1062,101,-1
"1112",726,101,-1
"1113",1068,105,-1
"1114",912,103,-1
"1115",1116,105,-1
"1116",1044,105,-1
"1117",1110,101,-1
"1118",912,109,-1
"1119",1152,108,-1
"1120",960,108,-1
"1121",1254,106,-1
"1122",1014,106,-1
"1123",1128,108,-1
"1124",1038,108,-1
"1125",948,106,-1
"1126",912,109,-1
"1127",984,111,-1
"1128",1056,106,-1
"1129",1164,106,-1
"1130",1266,108,-1
"1131",1110,106,-1
"1132",858,106,-1
"1133",906,109,-1
"1134",1098,109,-1
"1135",936,109,-1
"1136",924,109,-1
"1137",1104,111,-1
"1138",906,109,-1
"1139",912,109,-1
"1140",1176,108,-1
"1141",1416,106,-1
"1142",1296,106,-1
"1143",1146,109,-1
"1144",1068,109,-1
"1145",912,105,-1
"1146",1044,103,-1
"1147",810,108,-1
"1148",1026,108,-1
"1149",894,113,-1
"1150",996,105,-1
"1151",816,103,-1
"1152",1146,108,-1
"1153",1050,109,-1
"1154",948,108,-1
"1155",846,109,-1
"1156",732,105,-1
"1157",762,106,-1
"1158",714,108,-1
"1159",354,106,-1
"1160",600,105,-1
"1161",618,106,-1
"1162",282,105,-1
"1163",1656,105,-1
"1164",1296,106,-1
"1165",1614,105,-1
"1166",2094,97,-1
"1167",1968,93,-1
"1168",1524,82,-1
"1169",1944,77,-1
"1170",1902,74,-1
"1171",1584,53,-1
"1172",1746,74,-1
"1173",1914,79,-1
"1174",1908,82,-1
"1175",1782,74,-1
"1176",1722,66,-1
"1177",1848,63,-1
"1178",1596,55,-1
"1179",1680,53,-1
"1180",1344,32,-1
"1181",1368,32,-1
"1182",1356,32,-1
"1183",1326,34,-1
"1184",900,27,-1
"1185",1134,19,-1
"1186",918,26,-1
"1187",1080,27,-1
"1188",1134,26,-1
"1189",792,21,-1
"1190",1230,35,-1
"1191",942,51,-1
"1192",828,58,-1
"1193",942,47,-1
"1194",1296,50,-1
"1195",1152,51,-1
"1196",1464,50,-1
"1197",1572,51,-1
"1198",1206,61,-1
"1199",1128,95,-1
"1200",1026,105,-1
"1201",1008,103,-1
"1202",936,101,-1
"1203",1290,105,-1
"1204",1038,105,-1
"1205",1062,105,-1
"1206",1212,105,-1
"1207",1092,101,-1
"1208",1218,103,-1
"1209",1092,106,-1
"1210",732,105,-1
"1211",828,97,-1
"1212",918,100,-1
"1213",1002,101,-1
"1214",840,100,-1
"1215",600,98,-1
"1216",768,100,-1
"1217",792,103,-1
"1218",654,101,-1
"1219",594,100,-1
"1220",552,105,-1
"1221",774,105,-1
"1222",912,100,-1
"1223",810,101,-1
"1224",804,101,-1
"1225",906,103,-1
"1226",750,103,-1
"1227",924,100,-1
"1228",960,103,-1
"1229",1080,106,-1
"1230",900,105,-1
"1231",870,105,-1
"1232",690,101,-1
"1233",828,106,-1
"1234",576,106,-1
"1235",642,103,-1
"1236",1092,109,-1
"1237",972,105,-1
"1238",894,106,-1
"1239",774,106,-1
"1240",1032,108,-1
"1241",774,103,-1
"1242",864,101,-1
"1243",696,103,-1
